                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95917,                 3.9728,                 1.1811,                0.35624,                0.34298,                0.27837,                0.22083,                0.86013,                 3.0925,                 1.1031,             0.00013188,             0.00013188,             0.00013188
                      2,                0.92703,                 2.7888,                  1.156,                0.48691,                0.64846,                0.60659,                0.48038,                0.80011,                 2.1291,                 1.0909,             0.00026259,             0.00026259,             0.00026259
                      3,                0.90426,                 2.1627,                 1.1222,                0.66826,                0.68266,                  0.728,                0.57823,                0.79653,                 1.8075,                 1.0749,             0.00039066,             0.00039066,             0.00039066
                      4,                0.88068,                 1.8655,                 1.1011,                0.71295,                0.82944,                0.83423,                0.67171,                0.75173,                 1.4185,                 1.0373,             0.00038812,             0.00038812,             0.00038812
                      5,                0.83256,                 1.5721,                 1.0622,                0.81588,                0.84267,                0.87565,                0.71553,                0.73232,                 1.2116,                 1.0075,             0.00038416,             0.00038416,             0.00038416
                      6,                0.79937,                 1.4447,                 1.0411,                0.88021,                0.79682,                0.90609,                0.74373,                0.72222,                 1.0753,                0.99825,              0.0003802,              0.0003802,              0.0003802
                      7,                 0.7884,                 1.3565,                 1.0393,                0.89144,                0.86336,                0.91814,                0.75789,                0.71834,                0.96791,                 1.0079,             0.00037624,             0.00037624,             0.00037624
                      8,                0.77829,                 1.2268,                 1.0304,                0.92853,                0.83279,                0.92414,                0.76711,                0.69545,                0.85251,                0.98833,             0.00037228,             0.00037228,             0.00037228
                      9,                0.77402,                 1.1663,                   1.02,                0.85704,                0.88156,                0.92757,                0.76148,                0.71328,                 0.8146,                0.99864,             0.00036832,             0.00036832,             0.00036832
                     10,                0.74787,                 1.0834,                 1.0128,                0.90814,                0.87003,                0.92407,                0.76919,                0.69333,                0.76048,                0.96563,             0.00036436,             0.00036436,             0.00036436
                     11,                0.73058,                 1.0365,                 1.0006,                0.91684,                0.88234,                 0.9273,                0.77016,                0.70105,                0.74022,                 0.9823,              0.0003604,              0.0003604,              0.0003604
                     12,                0.75166,                 1.0102,                 1.0071,                0.86846,                0.86427,                0.91959,                0.76201,                0.69665,                0.78654,                0.97143,             0.00035644,             0.00035644,             0.00035644
                     13,                0.72578,                 0.9485,                 1.0027,                0.88822,                0.88124,                0.92681,                0.76432,                0.70352,                0.68757,                0.96954,             0.00035248,             0.00035248,             0.00035248
                     14,                0.72853,                0.91778,                 1.0003,                0.93156,                0.90706,                0.94878,                0.77387,                0.71178,                0.61827,                0.98357,             0.00034852,             0.00034852,             0.00034852
                     15,                0.72661,                0.87461,                      1,                0.90595,                0.91578,                0.95373,                0.79656,                0.66176,                0.57961,                0.94955,             0.00034456,             0.00034456,             0.00034456
                     16,                0.69493,                0.81678,                0.98917,                0.91101,                0.89302,                0.93908,                0.78537,                0.66808,                0.58854,                0.95077,              0.0003406,              0.0003406,              0.0003406
                     17,                0.69765,                0.81589,                0.98286,                 0.9543,                0.89766,                0.96142,                0.80552,                0.65604,                  0.546,                0.94156,             0.00033664,             0.00033664,             0.00033664
                     18,                0.70123,                0.78643,                0.97857,                 0.9381,                0.89517,                0.95272,                0.79802,                0.66131,                0.56616,                0.94609,             0.00033268,             0.00033268,             0.00033268
                     19,                0.68669,                0.75549,                0.97852,                 0.9258,                 0.9122,                0.95338,                0.80002,                0.66893,                0.55736,                0.95589,             0.00032872,             0.00032872,             0.00032872
                     20,                0.69175,                0.74679,                0.98449,                0.94322,                0.89191,                0.95042,                0.79522,                 0.6676,                0.54855,                0.95287,             0.00032476,             0.00032476,             0.00032476
                     21,                0.68075,                0.69922,                0.97902,                0.92522,                0.92438,                0.94812,                0.79498,                0.65277,                0.51969,                0.94184,              0.0003208,              0.0003208,              0.0003208
                     22,                0.66958,                0.69654,                0.96898,                0.94161,                0.91289,                0.95309,                0.79575,                0.67968,                0.54795,                0.95317,             0.00031684,             0.00031684,             0.00031684
                     23,                 0.6732,                0.66465,                0.97163,                0.93054,                0.90128,                0.94897,                 0.7924,                0.67114,                0.52711,                0.94987,             0.00031288,             0.00031288,             0.00031288
                     24,                0.65731,                0.64683,                0.95483,                0.92926,                0.90677,                0.94573,                 0.7857,                0.69521,                0.54264,                0.96356,             0.00030892,             0.00030892,             0.00030892
                     25,                0.65586,                0.63516,                0.97005,                 0.9419,                0.90762,                0.95779,                0.80219,                0.67131,                0.51111,                0.94902,             0.00030496,             0.00030496,             0.00030496
                     26,                0.63148,                0.61295,                0.95361,                0.94723,                0.92068,                0.96132,                0.81036,                0.64885,                0.48108,                0.94299,               0.000301,               0.000301,               0.000301
                     27,                0.64524,                  0.611,                0.96166,                0.92234,                0.91696,                0.94993,                 0.8063,                 0.6525,                 0.5111,                0.94204,             0.00029704,             0.00029704,             0.00029704
